n_0,R_0,c,r,D,R_max,E_b,R_unc,E_h,v_b,E_m,v_d,E_move,z,K,extinction
0.08040201,0.147555323,0.470323146,0.490241455,0.511241141,0.006583758,0.618043629,0.994646033,0.70337387,0.357156018,0.716659826,0.815103155,0.599356761,0.456528453,0.835720822,0
0.894472362,0.982211636,0.579127912,0.39673607,0.44334694,0.717231314,0.28586122,0.549164622,0.347358543,0.990145706,0.672186236,0.125970192,0.342406507,0.441183142,0.945787055,0
0.040201005,0.403701036,0.1558319,0.517466699,0.693139666,0.123420109,0.245020309,0.066488775,0.910635395,0.328753261,0.363735307,0.360241576,0.154366281,0.635384388,0.841262453,0
0.859296482,0.692677497,0.591200895,0.324340521,0.90083612,0.895975671,0.230772107,0.928118835,0.894238049,0.527600899,0.983076011,0.591501892,0.928425971,0.36016312,0.072948757,0
0.819095477,0.198142206,0.693957505,0.406361661,0.361390075,0.343017996,0.39771494,0.887989759,0.831167001,0.371220341,0.250404408,0.332532831,0.389400789,0.393634139,0.020641696,0
0.804020101,0.014807451,0.279713311,0.469164765,0.561810485,0.765449831,0.33192233,0.305292215,0.380583355,0.310261369,0.730218591,0.602398044,0.052629506,0.706357642,0.5963681,0
0.025125628,0.818899943,0.612732272,0.136566856,0.082616237,0.066224109,0.872372823,0.030330098,0.232299834,0.980505141,0.038262476,0.280489361,0.047674539,0.698311699,0.722351886,0
0.40201005,0.065457501,0.981743119,0.198436154,0.872038736,0.802069993,0.588269861,0.750657237,0.275299445,0.909356157,0.115739112,0.553545306,0.105853441,0.543044969,0.405997779,1
0.648241206,0.045664675,0.510541282,0.218735753,0.388703749,0.726479077,0.969667589,0.669569492,0.885383102,0.34593882,0.092190654,0.918560757,0.462631713,0.438286217,0.526250557,0
0.346733668,0.872780668,0.366380458,0.084605903,0.219262938,0.560613448,0.851928774,0.552779003,0.076776414,0.016523183,0.162169596,0.418429091,0.559426419,0.967011714,0.69431161,1
0.231155779,0.228424289,0.7117867,0.066296281,0.969324285,0.261622162,0.713023081,0.695165615,0.321103242,0.008466135,0.726527525,0.745245456,0.605714653,0.720178907,0.220454366,0
0.497487437,0.57098393,0.646894909,0.440249955,0.479247313,0.875771818,0.699854595,0.852114831,0.262679079,0.206781922,0.781527733,0.496370925,0.073755671,0.983605154,0.048033946,0
0.763819095,0.901824494,0.192858379,0.341931195,0.32346603,0.673722583,0.70018993,0.446307039,0.989078451,0.583014346,0.759336334,0.300493629,0.665198718,0.739978503,0.439961315,0
0.336683417,0.325378038,0.930562242,0.003770883,0.437584259,0.823008889,0.351410708,0.140353392,0.163063255,0.647985572,0.454744741,0.684761453,0.369254217,0.065834973,0.069978037,0
0.773869347,0.129121426,0.018297255,0.078197358,0.816997618,0.504896038,0.218462397,0.564807713,0.956125217,0.960414793,0.130809636,0.047074204,0.317188114,0.277371062,0.652694122,0
0.964824121,0.787547155,0.086373815,0.706109297,0.037710697,0.844413494,0.560199509,0.208979241,0.514240036,0.940895853,0.155089364,0.616302286,0.481655533,0.770449562,0.054221355,0
0.969849246,0.507045032,0.236413184,0.738383896,0.172181087,0.518258879,0.957604224,0.48761167,0.453718833,0.706957002,0.39056536,0.484134673,0.407669835,0.417505837,0.91132966,0
0.929648241,0.76565381,0.705485791,0.099048224,0.714233819,0.641031663,0.438394674,0.686209337,0.538859132,0.629384476,0.244633563,0.999808854,0.993760267,0.46866682,0.238845805,1
0.427135678,0.180961646,0.73469114,0.580098922,0.669406231,0.228138476,0.78099803,0.38378271,0.635184713,0.154326307,0.545392813,0.241862614,0.947376836,0.233925008,0.328569108,0
